Sl.No,Star,Planetmass,Planetmass_error_min,Planetmass_error_max,Starmass,Starmass_error_min,Starmass_error_max,Age,Age_error_min,Age_error_max,Orbital_period,Orbital_period_error_min,Orbital_period_error_max,semimajor_axis,semimajor_axis_error_min,semimajor_axis_error_max,Teff,Teff_ error_max,Teff_ error_min,log g,log g error_max,log g error_min,Fe_H,Fe/H - Exo.eu,Fe/H error_max,Fe/H error_min,Comment,Eccentricity
50,zet Del B,40,5,5,2.5,0.2,0.2,0.525,0.125,0.125,,,,907,236,236,,,,5,,,-0.05,-0.05,,,,
47,HIP 38939 B,38,20,20,,,,0.9,0.6,0.6,,,,1630,,,,,,5,,,-0.3,-0.3,0.1,0.1,,
18,GJ 758,37.9,1.5,1.5,0.899,0.08,0.003,8.997,0.005,0.004,109000,62000,198000,33,6,6,5427,35,17,4.98,0.02,0.08,0.37,0.18,0.04,0.03,,0.42
1,HD 126053 ,35,15,15,0.802,0.08,0.03,4.546,0.09,0.01,,,,2630,,,5657,2,1,4.58,0.01,0.01,-0.35,-0.38,0.01,0.01,,
9,GJ 229 B,35,15,15,0.549,0.05,0.05,0.051,0.01,0.2,52890,24055,19639,19.433,6.9,4.7,3858,2,7,4.8,0.01,0.01,0.17,NA,0.01,0.01,* These planets have 2 binary stars and 2 planets revolving them,0.03
13,CD-35 2722 ,31,8,8,0.57,0.05,0.001,0.09,0.3,0.2,,,,67,4,4,3536,11,14,3.76,0.02,0.02,-0.09,0.04,0.01,0.02,,
25,HR 2562,30,15,15,1.3,,,0.6,0.3,0.3,,,,20.3,0.3,0.3,6785,29,27,4.4,0.04,0.05,0.21,0.015,0.02,0.03,,
6,HIP 74865,28,10,37,1.31,0.05,0.03,1.522,0.002,0.002,,,,23,6,6,6803,1,1,4.39,0.02,0.02,-0.03,NA,0.02,0.01,,
15,HD 206893,28,,,1.263,0.03,0.001,1.757,0.07,0.08,,,,,,,6729,1,9,4.56,0.01,0.01,-0.01,NA,0.01,0.01,,0.41
7,PZ Tel ,27,9,25,1.13,0.13,0.15,0.023,,,44000,10000,40000,27,4,14,5338,,,4.78,,,,0.05,,,,0.52
