name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2MASS J0407+1546,Confirmed,67,28,28,,,,0.97,0.8,0.8,,,,,,,,,,,,,,2021,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,210,210,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,,61.78136083,15.77931668,,,,,,36.4421,2.3553,2.3553,,,,,,,,,,,,,,,,,,,
CWISE 0146-0508A b,Confirmed,66,10,10,,,,,,,,,,129,,,,,,,,,,2022,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,CWISE 0146-0508A,26.5467046,-5.1472375,,,,,,41,5,5,,,,0.072,0.006,0.006,,,,L4,5,0.45,0.45,1720,150,150,,,
LHS 2397a B,Confirmed,64,15,15,,,,,,,5194,40,40,3.09,0.1,0.1,0.35,0.005,0.005,41.9,1.1,1.1,,2009,2019-01-24,38.5,2.4,2.4,2453845,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,Published in a refereed paper,Imaging,Spectrum,,2MASS J11214924-1313084 B,,LHS 2397a A,170.4548837,-13.21909133,19.57,,11.93,11.23,10.74,14.3905,0.03654,0.03654,,,,0.0839,0.0015,0.0015,,,,M8V,1.5,0.6,0.6,2580,50,50,,,2MASS J11214924-1313084
HIP 29724 b,Confirmed,63,8,8,,,,,,,,,,6.3,0.09,0.09,,,,,,,,2022,2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 29724,93.91250001,-57.70166668,,,,,,63.05,0.04,0.04,,,,1.94,0.001,0.001,,,,G2V,0.15,0.1,0.1,,,,,,
WISE J0720-0846,Confirmed,62,0.11,0.11,,,,,,,1388,475,475,1.3,0.3,0.3,0.8,0.6,0.6,93.5,1.6,1.6,,2014,2015-11-24,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE J0720-0846,110.0125,-8.78083336,,,,,,6.8,0.7,0.7,,,,0.081,0.016,0.016,,,,M,,,,,,,,,
HR 7672 b,Confirmed,61.5,6.5,6.5,,,,,,,,,,14,,,,,,,,,,2002,2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"HD 190406 b, GJ 779 b, 15 Sge b",,HR 7672,301.025,17.07027778,5.8,,,,,17.72,0.02,0.02,,,,,,,,,,G0V,,,,,,,,,"HD 190406, GJ 779, 15 Sge"
HD 984 b,Confirmed,61,4,4,,,,,,,,,,28,4,4,0.76,0.05,0.05,120.8,1.6,1.6,,2017,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,HD 984,3.54166667,-7.199166683,7.3,,,,,47.1,1.4,1.4,,,,1.2,,,,,,F7V,0.08,0.05,0.05,6315,89,89,,,
ISO-Oph176,Confirmed,60,,,,,,,,,,,,,,,,,,,,,,2016,2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,,Published in a refereed paper,Imaging,,,,,ISO-Oph176,246.9416667,-24.52805558,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL 5038 b,Confirmed,60,,,,,,,,,,,,67,,,,,,,,,,2009,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,WD 2217-009 b,,PHL 5038,335.1279011,-0.6854095867,,,16.73,16.44,16.31,72.9357,1.213,1.213,,,,0.7,0.2,0.2,,,,DA,2.3,0.4,0.4,8000,100,100,,,WD 2217-009
V921 Sco b,Confirmed,60,,,,,,,,,,,,835,,,,,,,,,,2019,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,V921 Sco,254.7791667,-42.70250002,11,,,,,1482.4,77.4,77.4,,4500,4500,20,,,,,,B0IVe,0.00002,0.00001,0.00001,29000,3900,3900,,,
