,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
0,0,11 Com,19.4,1.5,-1.5,0,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,-0.26
1,1,11 UMi,14.74,2.5,-2.5,0,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,-0.05
2,2,14 And,4.8,,,0,185.84,0.23,-0.23,0,0.83,,,0,-0.28
3,3,14 Her,8.053,1.632,-0.883,0,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0,0.37
4,4,14 Her,5.025,0.873,-1.067,0,15732.45889,2654.17497,-1896.09685,0,11.924,1.296,-1.153,0,0.37
5,5,16 Cyg B,1.78,0.08,-0.08,0,798.5,1,-1,0,1.66,0.03,-0.03,0,0.09
6,6,17 Sco,4.32,0.15,-0.12,0,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,-0.01
7,7,18 Del,10.3,,,0,993.3,3.2,-3.2,0,2.6,,,0,0.03
8,8,24 Boo,0.91,0.13,-0.1,0,30.3506,0.0078,-0.0077,0,0.19,0.012,-0.009,0,-0.77
9,9,24 Sex,1.99,0.26,-0.38,0,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,-0.02
10,10,24 Sex,0.86,0.35,-0.22,0,883,32.4,-13.8,0,2.08,0.05,-0.02,0,-0.02
11,11,30 Ari B,13.82,1.8,-1.8,0,335.10001,2.5,-2.5,0,0.99,0.02,-0.02,0,0.12
12,12,42 Dra,3.88,0.85,-0.85,0,479.1,6.2,-6.2,0,1.19,0.01,-0.01,0,-0.4
13,13,51 Peg,0.46,0.06,-0.01,0,4.230785,0.000036,-0.000036,0,0.0527,0.003,-0.003,0,0.21
14,14,55 Cnc,0.8306,0.0033,-0.0033,0,14.6516,0.0001,-0.0001,0,0.1134,0.0006,-0.0006,0,0.33
16,16,55 Cnc,3.878,0.068,-0.068,0,5574.2,93.8,-88.6,0,5.957,0.074,-0.071,0,0.33
19,19,6 Lyn,2.01,0.077,-0.077,0,934.3,8.6,-8.6,0,2.11,0.11,-0.11,0,-0.09
23,23,70 Vir,7.49,0.61,-0.61,0,116.688,0.0054,-0.0054,0,0.481,0.022,-0.022,0,-0.07
24,24,75 Cet,3,,,0,691.9,3.6,-3.6,0,2.1,,,0,0.03
25,25,81 Cet,5.3,,,0,952.7,8.8,-8.8,0,2.5,,,0,0
26,26,91 Aqr,3.2,,,0,181.4,0.1,-0.1,0,0.7,,,0,0.01
29,29,BD+03 2562,6.4,1.3,-1.3,0,481.9,2.7,-2.8,0,1.3,0.1,-0.1,0,-0.71
30,30,BD+14 4559,1.04,0.47,-0.47,0,268.94,0.99,-0.99,0,0.78,0.05,-0.05,0,0.21
31,31,BD+15 2375,1.061,0.27,-0.27,0,153.22,0.44,-0.44,0,0.576,0.027,-0.027,0,-0.1
32,32,BD+15 2940,1.11,,,0,137.48,0.34,-0.34,0,0.539,,,0,-0.19
33,33,BD+20 2457,21.42,,,0,379.63,2.01,-2.01,0,1.45,,,0,-0.74
34,34,BD+20 2457,12.47,,,0,621.99,10.2,-10.2,0,2.01,,,0,-0.74
35,35,BD+20 274,4.2,,,0,578.2,5.4,-5.4,0,1.3,,,0,-0.23
37,37,BD+45 564,1.36,0.12,-0.12,0,307.88,1.47,-1.47,0,0.83,0.04,-0.04,0,-0.09
38,38,BD+48 738,0.91,,,0,392.6,5.5,-5.5,0,1,,,0,-0.1
39,39,BD+48 740,1.7,0.7,-0.7,0,733,5,-8,0,1.7,0.1,-0.1,0,-0.07
40,40,BD+49 828,1.6,0.4,-0.2,0,2590,300,-180,0,4.2,0.32,-0.2,0,-0.01
