,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
15,15,55 Cnc,0.1714,0.0055,-0.0055,0.0,44.3989,0.0042,-0.0043,0,0.2373,0.0013,-0.0013,0.0,0.33
17,17,55 Cnc,0.02514,0.00101,-0.00104,0.0,0.7365474,1.3e-06,-1.4e-06,0,0.01544,5e-05,-5e-05,0.0,0.33
18,18,55 Cnc,0.141,0.012,-0.012,0.0,259.88,0.29,-0.29,0,0.7708,0.0043,-0.0044,0.0,0.33
20,20,61 Vir,0.016,0.002,-0.002,0.0,4.215,0.0006,-0.0006,0,0.050201,5e-06,-5e-06,0.0,-0.01
21,21,61 Vir,0.057,0.003,-0.003,0.0,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0.0,-0.01
22,22,61 Vir,0.072,0.008,-0.008,0.0,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0.0,-0.01
27,27,AU Mic,0.0633,0.00494,-0.00541,0.0,8.4629991,,,0,0.0645,0.0013,-0.0013,0.0,
28,28,AU Mic,0.0302,0.00651,-0.00727,0.0,18.858991,,,0,0.1101,0.002,-0.002,0.0,
36,36,BD+20 594,0.07,0.03,-0.03,0.0,41.6855,0.003,-0.003,0,0.241,0.019,-0.017,0.0,-0.16
44,44,BD-06 1339,0.027,0.004,-0.004,0.0,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0.0,-0.34
45,45,BD-06 1339,0.17,0.03,-0.03,0.0,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0.0,-0.34
46,46,BD-08 2823,0.04,0.01,-0.01,0.0,5.6,0.02,-0.02,0,0.06,0.0,0.0,0.0,0.01
50,50,BD-11 4672,0.04836,0.00934,-0.00884,0.0,74.2,0.06,-0.08,0,0.3,0.01,-0.01,0.0,-0.36
52,52,CD Cet,0.01243,0.00132,-0.00135,0.0,2.2907,0.00012,-0.00012,0,0.0185,0.0013,-0.0013,0.0,0.13
68,68,CoRoT-22,0.038,0.044,-0.028,0.0,9.75598,0.00011,-0.00011,0,0.092,0.0014,-0.0014,0.0,0.23
70,70,CoRoT-24,0.018,,,1.0,5.1134,0.0006,-0.0006,0,0.056,0.002,-0.002,0.0,0.3
71,71,CoRoT-24,0.088,0.035,-0.035,0.0,11.759,0.0063,-0.0063,0,0.098,0.003,-0.003,0.0,0.3
72,72,CoRoT-25,0.27,0.04,-0.04,0.0,4.86069,6e-05,-6e-05,0,0.0578,0.002,-0.0009,0.0,0.16
85,85,CoRoT-7,0.01283,0.00321,-0.00321,0.0,0.85359163,1e-08,-1e-08,0,0.017016,0.00017,-3.6e-05,0.0,0.06
86,86,CoRoT-7,0.02643,0.00283,-0.00283,0.0,3.698,0.003,-0.003,0,0.046,,,0.0,0.06
87,87,CoRoT-7,0.05393,0.00803,-0.00803,0.0,8.966,1.546,-1.546,0,,,,,0.06
88,88,CoRoT-8,0.22,0.03,-0.03,0.0,6.21229,3e-05,-3e-05,0,0.063,0.001,-0.001,0.0,0.17
92,92,EPIC 201170410,0.0036,,,0.0,6.7987,0.0001,-0.0001,0,0.0349,0.0027,-0.0022,0.0,-0.05
93,93,EPIC 201238110,0.0131,,,0.0,28.1656,0.0027,-0.0028,0,,,,,0.0
94,94,EPIC 201427007,0.00899,,,0.0,0.72091,0.00014,-0.00014,0,,,,,-0.05
95,95,EPIC 201497682,0.00082,,,0.0,2.13174,0.00022,-0.00022,0,,,,,-0.12
96,96,EPIC 201595106,0.00705,,,0.0,0.877214,6e-05,-6e-05,0,,,,,-0.01
97,97,K2-166,0.00624,,,0.0,3.80464,0.00091,-0.00105,0,,,,,0.09
98,98,K2-166,0.0171,,,0.0,8.52695,0.00362,-0.0037,0,0.0858,0.001,-0.0009,0.0,0.09
99,99,K2-16,0.0034,,,0.0,2.71578,0.00031,-0.00031,0,,,,,-0.4
100,100,K2-16,0.0149,,,0.0,7.6188,0.00087,-0.00087,0,0.0667,0.0011,-0.0011,0.0,-0.4
101,101,K2-16,0.022,,,0.0,19.07863,0.00327,-0.00327,0,0.1229,0.0021,-0.0021,0.0,-0.4
102,102,EPIC 201757695,0.00217,,,0.0,2.0478,0.0001,-0.0001,0,0.0296,0.0005,-0.0005,0.0,0.0
103,103,K2-50,0.00306,,,0.0,3.96151,0.00046,-0.00051,0,,,,,
